Teams,Seasons,Players,Matches,Goals,Assists,Seasons Ratings
InterMiami,2024,Lionel Messi,15,14,11,8.5
InterMiami,2023,Lionel Messi,14,11,5,8
PSG,2022/2023,Lionel Messi,41,21,20,8.1
PSG,2021/2022,Lionel Messi,34,11,14,7.9
Barcelona,2020/2021,Lionel Messi,47,38,12,8.4
Barcelona,2019/2020,Lionel Messi,44,31,25,8.3
Barcelona,2018/2019,Lionel Messi,50,51,19,8.5
Barcelona,2017/2018,Lionel Messi,54,45,18,8.4
Barcelona,2016/2017,Lionel Messi,52,54,16,8.4
AL Nassr,2023/2024,Cristiano Ronaldo,51,50,13,8.1
AL Nassr,2022/2023,Cristiano Ronaldo,19,14,2,7.7
Man United,2021/2022,Cristiano Ronaldo,16,3,2,7
Man United,2020/2021,Cristiano Ronaldo,38,24,3,7.5
Juventus,2019/2020,Cristiano Ronaldo,1,0,0,6.7
Juventus,2018/2019,Cristiano Ronaldo,44,36,5,7.9
Juventus,2017/2018,Cristiano Ronaldo,43,28,10,7.9
Real Madrid,2016/2017,Cristiano Ronaldo,46,42,11,7.9
Real Madrid,2015/2016,Cristiano Ronaldo,48,51,15,8.6
AL Hilal,2023/2024,Neymar,5,1,2,7.5
PSG,2022/2023,Neymar,29,18,16,8
PSG,2021/2022,Neymar,28,13,8,7.8
PSG,2020/2021,Neymar,31,17,7,7.7
PSG,2019/2020,Neymar,27,19,11,8.3
PSG,2018/2019,Neymar,28,23,10,8.4
PSG,2017/2018,Neymar,30,28,16,8.9
Barcelona,2016/2017,Neymar,45,20,21,8.4
Barcelona,2015/2016,Neymar,49,31,20,8.6
PSG,2023/2024,Kylian Mbappe,48,44,10,8
PSG,2022/2023,Kylian Mbappe,43,41,9,7.9
PSG,2021/2022,Kylian Mbappe,46,39,21,8.2
PSG,2020/2021,Kylian Mbappe,47,42,11,7.9
PSG,2019/2020,Kylian Mbappe,37,30,14,7.9
PSG,2018/2019,Kylian Mbappe,43,39,13,8.1
PSG,2017/2018,Kylian Mbappe,44,21,13,7.6
Monaco,2016/2017,Kylian Mbappe,2,0,0,7.6
Monaco,2015/2016,Kylian Mbappe,44,26,8,7.5
Liverpool,2023/2024,Mohamed Salah,44,25,13,7.5
Liverpool,2022/2023,Mohamed Salah,51,30,16,7.5
Liverpool,2021/2022,Mohamed Salah,51,31,15,7.6
Liverpool,2020/2021,Mohamed Salah,51,31,6,7.3
Liverpool,2019/2020,Mohamed Salah,48,23,13,7.4
Liverpool,2018/2019,Mohamed Salah,52,27,10,7.2
Liverpool,2017/2018,Mohamed Salah,52,44,14,7.8
Roma,2016/2017,Mohamed Salah,41,19,12,7.5
Roma,2015/2016,Mohamed Salah,42,15,6,7
AL Ittihad,2023/2024,Kamir Benzema,33,16,9,7.4
Real Madrid,2022/2023,Kamir Benzema,43,31,6,7.8
Real Madrid,2021/2022,Kamir Benzema,46,44,15,8.1
Real Madrid,2020/2021,Kamir Benzema,46,30,9,7.7
Real Madrid,2019/2020,Kamir Benzema,48,27,11,7.5
Real Madrid,2018/2019,Kamir Benzema,53,30,10,7.4
Real Madrid,2017/2018,Kamir Benzema,47,12,11,7.1
Real Madrid,2016/2017,Kamir Benzema,48,19,7,7.2
Real Madrid,2015/2016,Kamir Benzema,36,28,7,6.5
Real Madrid,2023/2024,Vinicius Junior,39,24,9,7.6
Real Madrid,2022/2023,Vinicius Junior,55,23,19,7.8
Real Madrid,2021/2022,Vinicius Junior,52,22,16,7.7
Real Madrid,2020/2021,Vinicius Junior,49,6,4,6.9
Real Madrid,2019/2020,Vinicius Junior,38,5,3,6.7
Real Madrid,2018/2019,Vinicius Junior,31,4,8,6.9
Real Madrid Castilla,2017/2018,Vinicius Junior,5,4,0,8.8
Flamengo,2016/2017,Vinicius Junior,32,10,3,7.3
Flamengo,2015/2016,Vinicius Junior,37,4,1,6.3
Juventus,2023/2024,Paul Pogba,2,0,0,6.6
Juventus,2022/2023,Paul Pogba,10,0,1,6.5
Man United,2021/2022,Paul Pogba,27,1,9,7
Man United,2020/2021,Paul Pogba,42,6,6,7.1
Man United,2019/2020,Paul Pogba,22,1,3,7.1
Man United,2018/2019,Paul Pogba,47,16,11,7.3
Man United,2017/2018,Paul Pogba,37,6,12,7.6
Man United,2016/2017,Paul Pogba,51,9,6,7.8
Juventus,2015/2016,Paul Pogba,49,10,15,7.3
Atletico Madrid,2023/2024,Antoine Griezmann,48,24,8,7.6
Atletico Madrid,2022/2023,Antoine Griezmann,48,16,18,7.8
Atletico Madrid,2021/2022,Antoine Griezmann,36,8,6,7
Barcelona,2020/2021,Antoine Griezmann,3,0,0,7
Barcelona,2019/2020,Antoine Griezmann,51,20,12,7.5
Barcelona,2018/2019,Antoine Griezmann,48,15,4,7.1
Atletico Madrid,2017/2018,Antoine Griezmann,48,21,11,7.4
Atletico Madrid,2016/2017,Antoine Griezmann,49,29,13,7.5
Atletico Madrid,2015/2016,Antoine Griezmann,54,32,6,7.5
Barcelona,2023/2024,Ilkay Gundogan,51,5,14,7.6
Man City,2022/2023,Ilkay Gundogan,51,11,6,7.5
Man City,2021/2022,Ilkay Gundogan,43,10,7,7.5
Man City,2020/2021,Ilkay Gundogan,46,17,4,7.6
Man City,2019/2020,Ilkay Gundogan,50,5,4,7.1
Man City,2018/2019,Ilkay Gundogan,50,6,8,7.3
Man City,2017/2018,Ilkay Gundogan,48,6,7,7.1
Man City,2016/2017,Ilkay Gundogan,16,5,1,7.5
Dortmund,2015/2016,Ilkay Gundogan,40,3,5,7.2
Bayern Munchen,2023/2024,Harry Kane,45,44,12,7.9
Tottenham,2022/2023,Harry Kane,49,32,5,7.5
Tottenham,2021/2022,Harry Kane,50,27,10,7.5
Tottenham,2020/2021,Harry Kane,49,33,17,7.6
Tottenham,2019/2020,Harry Kane,34,24,2,7.3
Tottenham,2018/2019,Harry Kane,40,24,6,7.3
Tottenham,2017/2018,Harry Kane,48,41,4,7.6
Tottenham,2016/2017,Harry Kane,38,35,7,7.7
Tottenham,2015/2016,Harry Kane,50,28,2,7.6
Bayern Munchen,2023/2024,Thomas Muller,41,7,10,7.2
Bayern Munchen,2022/2023,Thomas Muller,40,8,11,7.2
Bayern Munchen,2021/2022,Thomas Muller,45,13,22,7.5
Bayern Munchen,2020/2021,Thomas Muller,46,15,19,7.6
Bayern Munchen,2019/2020,Thomas Muller,50,14,25,7.5
Bayern Munchen,2018/2019,Thomas Muller,45,9,12,7.2
Bayern Munchen,2017/2018,Thomas Muller,45,9,15,7.3
Bayern Munchen,2016/2017,Thomas Muller,42,9,15,7
Bayern Munchen,2015/2016,Thomas Muller,49,32,10,7.4
Barcelona,2023/2024,Robert Lewandowski,49,26,9,7.4
Barcelona,2022/2023,Robert Lewandowski,46,33,8,7.6
Bayern Munchen,2021/2022,Robert Lewandowski,46,50,6,8
Bayern Munchen,2020/2021,Robert Lewandowski,40,48,9,8.1
Bayern Munchen,2019/2020,Robert Lewandowski,47,55,9,8.2
Bayern Munchen,2018/2019,Robert Lewandowski,47,40,9,7.6
Bayern Munchen,2017/2018,Robert Lewandowski,48,41,4,7.5
Bayern Munchen,2016/2017,Robert Lewandowski,47,43,8,7.6
Bayern Munchen,2015/2016,Robert Lewandowski,51,42,4,7.3
Benfica,2023/2024,Angel Di Maria,48,17,13,7.8
Juventus,2022/2023,Angel Di Maria,40,8,7,7
PSG,2021/2022,Angel Di Maria,31,5,8,7.4
PSG,2020/2021,Angel Di Maria,43,5,15,7.3
PSG,2019/2020,Angel Di Maria,41,13,22,7.8
PSG,2018/2019,Angel Di Maria,45,19,16,7.5
PSG,2017/2018,Angel Di Maria,45,21,9,7.4
PSG,2016/2017,Angel Di Maria,43,14,15,7.3
PSG,2015/2016,Angel Di Maria,47,15,22,7.4
Tottenham,2023/2024,Heung Min Son,36,17,10,7.5
Tottenham,2022/2023,Heung Min Son,47,14,6,7.1
Tottenham,2021/2022,Heung Min Son,45,24,8,7.6
Tottenham,2020/2021,Heung Min Son,51,22,15,7.3
Tottenham,2019/2020,Heung Min Son,41,18,11,7.2
Tottenham,2018/2019,Heung Min Son,48,20,19,7
Tottenham,2017/2018,Heung Min Son,53,18,11,7.1
Tottenham,2016/2017,Heung Min Son,47,21,7,7.2
Tottenham,2015/2016,Heung Min Son,40,8,6,7.3
Chelsea,2023/2024,Raheem Sterling,43,10,8,7
Chelsea,2022/2023,Raheem Sterling,38,9,4,6.9
Man City,2021/2022,Raheem Sterling,47,17,8,7.3
Man City,2020/2021,Raheem Sterling,49,14,10,7.1
Man City,2019/2020,Raheem Sterling,52,31,5,7.4
Man City,2018/2019,Raheem Sterling,51,25,15,7.6
Man City,2017/2018,Raheem Sterling,46,23,13,7.7
Man City,2016/2017,Raheem Sterling,47,10,15,7.2
Man City,2015/2016,Raheem Sterling,47,11,8,7.1
Al Ahli,2023/2024,Riyad Mahrez,33,12,13,7.8
Man City,2022/2023,Riyad Mahrez,47,15,13,7.4
Man City,2021/2022,Riyad Mahrez,47,24,9,7.6
Man City,2020/2021,Riyad Mahrez,48,14,9,7.4
Man City,2019/2020,Riyad Mahrez,50,13,13,7.3
Man City,2018/2019,Riyad Mahrez,44,12,12,7.2
Leicester,2017/2018,Riyad Mahrez,41,13,12,7.3
Leicester,2016/2017,Riyad Mahrez,48,10,6,7.1
Leicester,2015/2016,Riyad Mahrez,39,18,11,7.3
AL Nassr,2023/2024,Sadio Mane,50,19,11,7.7
Bayern Munchen,2022/2023,Sadio Mane,38,12,6,7.2
Liverpool,2021/2022,Sadio Mane,51,23,2,7.4
Liverpool,2020/2021,Sadio Mane,48,16,8,7.3
Liverpool,2019/2020,Sadio Mane,47,22,9,7.5
Liverpool,2018/2019,Sadio Mane,50,26,2,7.4
Liverpool,2017/2017,Sadio Mane,44,20,9,7.7
Liverpool,2016/2017,Sadio Mane,29,13,7,7.6
Liverpool,2015/2016,Sadio Mane,43,15,6,7.3
Atletico Madrid,2023/2024,Alvaro Morata,48,21,4,7
Atletico Madrid,2022/2023,Alvaro Morata,45,15,3,7
Juventus,2021/2022,Alvaro Morata,48,12,7,7.1
Juventus,2020/2021,Alvaro Morata,44,20,11,7.2
Atletico Madrid,2019/2020,Alvaro Morata,44,16,4,6.8
Atletico Madrid,2018/2019,Alvaro Morata,17,6,1,7
Chelsea,2017/2018,Alvaro Morata,24,9,0,6.7
Chelsea,2016/2017,Alvaro Morata,48,15,6,6.8
Real Madrid,2015/2016,Alvaro Morata,43,20,5,7.2
Man City,2023/2024,Bernardo Silva,49,12,10,7.5
Man City,2022/2023,Bernardo Silva,55,7,6,7.1
Man City,2021/2022,Bernardo Silva,50,13,7,7.5
Man City,2020/2021,Bernardo Silva,45,5,9,7.1
Man City,2019/2020,Bernardo Silva,52,8,10,7.1
Man City,2018/2019,Bernardo Silva,51,13,13,7.5
Man City,2017/2018,Bernardo Silva,53,9,10,7.1
Monaco,2016/2017,Bernardo Silva,58,11,10,7.2
Monaco,2015/2016,Bernardo Silva,44,7,1,7.1
Man City,2023/2024,Erling Haaland,45,38,6,7.7
Man City,2022/2023,Erling Haaland,53,52,9,7.6
Dortmund,2021/2022,Erling Haaland,30,29,7,7.8
Dortmund,2020/2021,Erling Haaland,41,41,10,7.9
Dortmund,2019/2020,Erling Haaland,18,16,2,7.5
Salzburg,2018/2019,Erling Haaland,22,28,5,7.8
Salzburg,2017/2018,Erling Haaland,5,1,0,6.9
Molde,2016/2017,Erling Haaland,30,16,4,6.9
Molde,2015/2016,Erling Haaland,18,3,1,6.2
Roma,2023/2024,Romelu Lukaku,47,21,4,7.1
Inter ,2022/2023,Romelu Lukaku,37,14,7,7
Chelsea,2021/2022,Romelu Lukaku,44,15,0,6.9
Inter,2020/2021,Romelu Lukaku,44,30,11,7.6
Inter,2019/2020,Romelu Lukaku,51,34,6,7.2
Man United,2018/2019,Romelu Lukaku,45,15,3,6.7
Man United,2017/2018,Romelu Lukaku,51,27,9,7.3
Everton,2016/2017,Romelu Lukaku,39,26,7,7.4
Everton,2015/2016,Romelu Lukaku,46,25,6,5.1
Real Madrid,2023/2024,Luka Modric,46,2,7,7.1
Real Madrid,2022/2023,Luka Modric,52,6,6,7.2
Real Madrid,2021/2022,Luka Modric,45,3,12,7.3
Real Madrid,2020/2021,Luka Modric,48,6,6,7.4
Real Madrid,2019/2020,Luka Modric,40,5,7,7
Real Madrid,2018/2019,Luka Modric,46,4,8,7.2
Real Madrid,2017/2018,Luka Modric,43,2,8,7.3
Real Madrid,2016/2017,Luka Modric,41,1,3,7.4
Real Madrid,2015/2016,Luka Modric,44,3,5,6.9
Sevilla,2023/2024,Sergio Ramos,37,7,1,7.2
PSG,2022/2023,Sergio Ramos,45,4,1,7.2
PSG,2021/2022,Sergio Ramos,13,2,0,7.1
Real Madrid,2020/2021,Sergio Ramos,21,4,1,7.3
Real Madrid,2019/2020,Sergio Ramos,44,13,0,7.1
Real Madrid,2018/2019,Sergio Ramos,42,11,1,7.1
Real Madrid,2017/2018,Sergio Ramos,42,5,1,7.2
Real Madrid,2016/2017,Sergio Ramos,44,10,2,7.2
Real Madrid,2015/2016,Sergio Ramos,33,3,2,8.1
Bayern Munchen,2023/2024,Joshua Kimmich,43,2,9,7.5
Bayern Munchen,2022/2023,Joshua Kimmich,47,7,11,7.9
Bayern Munchen,2021/2022,Joshua Kimmich,39,3,11,7.9
Bayern Munchen,2020/2021,Joshua Kimmich,39,6,14,7.7
Bayern Munchen,2019/2020,Joshua Kimmich,51,7,15,7.5
Bayern Munchen,2018/2019,Joshua Kimmich,48,2,18,7.5
Bayern Munchen,2017/2018,Joshua Kimmich,47,6,15,7.4
Bayern Munchen,2016/2017,Joshua Kimmich,40,9,2,7.1
Bayern Munchen,2023/2024,Leroy Sane,42,10,12,7.6
Bayern Munchen,2022/2023,Leroy Sane,44,14,9,7.4
Bayern Munchen,2021/2022,Leroy Sane,45,14,14,7.5
Bayern Munchen,2020/2021,Leroy Sane,44,10,10,7
Man City,2019/2020,Leroy Sane,2,0,0,6.1
Man City,2018/2019,Leroy Sane,47,16,17,7.4
Man City,2017/2018,Leroy Sane,49,14,19,7.6
Man City,2016/2017,Leroy Sane,37,9,6,7.4
Real Madrid,2023/2024,Nacho Fernandez,45,0,1,6.8
Real Madrid,2022/2023,Nacho Fernandez,44,1,1,7
Real Madrid,2021/2022,Nacho Fernandez,42,3,0,7.1
Real Madrid,2020/2021,Nacho Fernandez,33,1,0,7
Real Madrid,2019/2020,Nacho Fernandez,10,2,0,6.9
Real Madrid,2018/2019,Nacho Fernandez,30,0,1,6.7
Real Madrid,2017/2018,Nacho Fernandez,42,4,0,7
Real Madrid,2016/2017,Nacho Fernandez,39,3,3,7
Real Madrid,2015/2016,Nacho Fernandez,22,1,0,6.7
Liverpool,2023/2024,Virgil van Dijk,48,4,2,7.3
Liverpool,2022/2023,Virgil van Dijk,41,3,1,7.1
Liverpool,2021/2022,Virgil van Dijk,51,3,1,7.5
Liverpool,2020/2021,Virgil van Dijk,8,1,0,6.3
Liverpool,2019/2020,Virgil van Dijk,50,5,2,7.2
Liverpool,2018/2019,Virgil van Dijk,50,6,4,7.4
Liverpool,2017/2018,Virgil van Dijk,22,1,0,7.1
Liverpool,2016/2017,Virgil van Dijk,12,0,0,7.2
Liverpool,2015/2016,Virgil van Dijk,30,4,0,7.6
Barcelona,2023/2024,Sergi Roberto,24,3,3,7
Barcelona,2022/2023,Sergi Roberto,33,4,3,6.9
Barcelona,2021/2022,Sergi Roberto,12,2,1,6.8
Barcelona,2020/2021,Sergi Roberto,20,1,2,7
Barcelona,2019/2020,Sergi Roberto,39,1,2,7
Barcelona,2018/2019,Sergi Roberto,44,1,7,7.1
Barcelona,2017/2018,Sergi Roberto,48,1,8,7.3
Barcelona,2016/2017,Sergi Roberto,47,1,6,7.1
Barcelona,2023/2024,Joao Cancelo,42,4,5,7.4
Bayern Munchen,2022/2023,Joao Cancelo,21,1,6,7.5
Man City,2021/2022,Joao Cancelo,26,2,4,7.2
Man City,2020/2021,Joao Cancelo,52,3,10,7.7
Man City,2019/2020,Joao Cancelo,43,3,5,7.4
Juventus,2018/2019,Joao Cancelo,34,1,5,7.4
Inter,2017/2018,Joao Cancelo,28,1,3,7.2
Valencia,2016/2017,Joao Cancelo,1,0,0,7.7
Al Ahli,2023/2024,Roberto Firmino,34,9,7,7.4
Liverpool,2022/2023,Roberto Firmino,35,13,5,7.1
Liverpool,2021/2022,Roberto Firmino,35,11,5,7.2
Liverpool,2020/2021,Roberto Firmino,48,9,9,7
Liverpool,2019/2020,Roberto Firmino,52,12,12,7.1
Liverpool,2018/2019,Roberto Firmino,48,16,7,7
Liverpool,2017/2018,Roberto Firmino,54,27,16,7.2
Liverpool,2016/2017,Roberto Firmino,41,12,8,7.5
Liverpool,2015/2016,Roberto Firmino,49,11,9,6
Arsenal,2023/2024,Kai Havertz,51,14,7,7.1
Chelsea,2022/2023,Kai Havertz,47,9,1,6.9
Chelsea,2021/2022,Kai Havertz,47,14,5,7.1
Chelsea,2020/2021,Kai Havertz,45,9,6,6.9
Leverkusen,2019/2020,Kai Havertz,45,18,9,7.1
Leverkusen,2018/2019,Kai Havertz,42,20,6,7.4
Leverkusen,2017/2018,Kai Havertz,35,4,8,7
Leverkusen,2016/2017,Kai Havertz,28,4,5,6.7
Atletico Madrid,2023/2024,Koke,50,0,6,7.2
Atletico Madrid,2022/2023,Koke,42,0,3,7.1
Atletico Madrid,2021/2022,koke,43,1,3,7
Atletico Madrid,2020/2021,Koke,45,1,2,7.1
Atletico Madrid,2019/2020,Koke,42,5,6,7.1
Atletico Madrid,2018/2019,Koke,41,6,5,7.3
Atletico Madrid,2017/2018,koke,51,6,7,7.1
Atletico Madrid,2016/2017,Koke,54,5,10,7.3
Atletico Madrid,2015/2016,Koke,51,5,15,6.8
Atletico Madrid,2023/2024,Jose Gimenez,33,0,1,6.8
Atletico Madrid,2022/2023,Jose Gimenez,36,2,1,7.2
Atletico Madrid,2021/2022,Jose Gimenez,33,1,1,7
Atletico Madrid,2020/2021,Jose Gimenez,26,1,0,6.9
Atletico Madrid,2019/2020,Jose Gimenez,27,0,1,6.8
Atletico Madrid,2018/2019,Jose Gimenez,29,2,0,7.1
Atletico Madrid,2017/2018,Jose Gimenez,38,2,2,7.1
Atletico Madrid,2016/2017,Jose Gimenez,29,1,1,7.5
Chelsea,2023/2024,Christopher Nkunku,14,3,0,6.6
RB Leipzig,2022/2023,Christopher Nkunku,36,23,7,6.6
RB Leipzig,2021/2022,Christopher Nkunku,52,35,16,7.8
RB Leipzig,2020/2021,Christopher Nkunku,40,7,9,7.3
RB Leipzig,2019/2020,Christopher Nkunku,44,5,13,7.1
PSG,2018/2019,Christopher Nkunku,29,4,2,7.2
PSG,2017/2018,Christopher Nkunku,27,5,0,6.6
PSG,2016/2017,Christopher Nkunku,16,2,1,6.3
Liverpool,2023/2024,Andrew Robertson,30,3,2,7.4
Liverpool,2022/2023,Andrew Robertson,43,0,11,7
Liverpool,2021/2022,Andrew Robertson,47,3,15,7.6
Liverpool,2020/2021,Andrew Robertson,50,1,7,7.1
Liverpool,2019/2020,Andrew Robertson,49,3,12,7.3
Liverpool,2018/2019,Andrew Robertson,48,0,13,7.3
Liverpool,2017/2018,Andrew Robertson,30,1,5,7.1
Hull,2016/2017,Andrew Robertson,39,1,3,7
Liverpool,2023/2024,Trent Alexander-Arnold,37,3,9,7.6
Liverpool,2022/2023,Trent Alexander-Arnold,47,4,10,7.4
Liverpool,2021/2022,Trent Alexander-Arnold,47,2,18,7.9
Liverpool,2020/2021,Trent Alexander-Arnold,45,2,9,7.3
Liverpool,2019/2020,Trent Alexander-Arnold,49,4,15,7.3
Liverpool,2018/2019,Trent Alexander-Arnold,40,1,15,7.5
Liverpool,2017/2018,Trent Alexander-Arnold,33,3,2,6.9
Liverpool,2016/2017,Trent Alexander-Arnold,12,0,1,6.8
Liverpool,2023/2024,Joseph Gomez,51,0,3,7
Liverpool,2022/2023,Joseph Gomez,31,0,1,6.9
Liverpool,2021/2022,Joseph Gomez,21,0,1,7.1
Liverpool,2020/2021,Joseph Gomez,12,0,1,6.8
Liverpool,2019/2020,Joseph Gomez,43,0,0,6.9
Liverpool,2018/2019,Joseph Gomez,25,0,0,6.8
Liverpool,2017/2018,Joseph Gomez,31,0,2,7.1
Liverpool,2016/2017,Joseph Gomez,3,0,0,7.1
Man United,2023/2024,Harry Maguire,31,4,2,7.2
Man United,2022/2023,Harry Maguire,31,0,0,6.9
Man United,2021/2022,Harry Maguire,37,2,0,6.9
Man United,2020/2021,Harry Maguire,52,2,1,7
Man United,2019/2020,Harry Maguire,55,3,2,7.1
Leicester,2018/2019,Harry Maguire,32,3,0,7.1
Leicester,2017/2018,Harry Maguire,44,2,4,7.2
Hull,2016/2017,Harry Maguire,36,3,2,7.3
Man City,2023/2024,Kyle Walker,47,0,5,7.3
Man City,2022/2023,Kyle Walker,39,0,1,7.1
Man City,2021/2022,Kyle Walker,31,1,2,7.2
Man City,2020/2021,Kyle Walker,42,2,1,7.1
Man City,2019/2020,Kyle Walker,42,1,6,7
Man City,2018/2019,Kyle Walker,52,2,1,7.1
Man City,2017/2018,Kyle Walker,48,0,7,7.2
Tottenham,2016/2017,Kyle Walker,39,0,5,7.5
Athletic Club,2023/2024,Inaki Williams,39,14,5,7.3
Athletic Club,2022/2023,Inaki Williams,42,11,5,7
Athletic Club,2021/2022,Inaki Williams,44,8,5,6.9
Athletic Club,2020/2021,Inaki Williams,46,8,7,6.6
Athletic Club,2019/2020,Inaki Williams,46,9,3,6.4
Athletic Club,2018/2019,Inaki Williams,41,15,4,6.9
Athletic Club,2017/2018,Inaki Williams,52,10,6,6.6
Athletic Club,2016/2017,Inaki Williams,49,8,6,6.6
Barcelona,2023/2024,Ferran Torres,42,11,3,6.8
Barcelona,2022/2023,Ferran Torres,45,7,3,6.8
Man City,2021/2022,Ferran Torres,26,7,6,7.2
Man City,2020/2021,Ferran Torres,36,13,3,6.8
Valencia,2019/2020,Ferran Torres,44,6,8,6.8
Valencia,2018/2019,Ferran Torres,37,3,2,6.5
Valencia,2017/2018,Ferran Torres,16,0,2,6.3
Real Madrid,2023/2024,Jude Bellingham,42,23,13,8
Dortmund,2022/2023,Jude Bellingham,42,14,6,7.7
Dortmund,2021/2022,Jude Bellingham,44,6,13,7.5
Dortmund,2020/2021,Jude Bellingham,46,4,4,6.9
Birmingham,2019/2020,Jude Bellingham,44,4,2,6.6
Man United,2023/2024,Marcus Rashford,43,8,5,7
Man United,2022/2023,Marcus Rashford,56,30,9,7.4
Man United,2021/2022,Marcus Rashford,32,5,2,6.5
Man United,2020/2021,Marcus Rashford,57,21,12,7.2
Man United,2019/2020,Marcus Rashford,44,22,8,7.3
Man United,2018/2019,Marcus Rashford,47,13,7,6.9
Man United,2017/2018,Marcus Rashford,52,13,8,6.8
Man United,2016/2017,Marcus Rashford,53,11,4,6.8
Arsenal,2023/2024,Bukayo Saka,47,20,14,7.9
Arsenal,2022/2023,Bukayo Saka,48,15,11,7.5
Arsenal,2021/2022,Bukayo Saka,43,12,7,7.3
Arsenal,2020/2021,Bukayo Saka,46,7,7,7
Arsenal,2019/2020,Bukayo Saka,38,4,12,6.9
Arsenal,2018/2019,Bukayo Saka,4,0,0,7.6
Barcelona,2023/2024,Frenkie de Jong,30,2,0,7.5
Barcelona,2022/2023,Frenkie de Jong,43,2,4,7.4
Barcelona,2021/2022,Frenkie de Jong,47,4,5,7.4
Barcelona,2020/2021,Frenkie de Jong,51,7,7,7.5
Barcelona,2019/2020,Frenkie de Jong,42,2,3,7
Ajax,2018/2019,Frenkie de Jong,52,3,3,7.5
Ajax,2017/2018,Frenkie de Jong,26,1,7,7.8
Ajax,2016/2017,Frenkie de Jong,11,1,0,6.2
Liverpool,2023/2024,Alexis Mac Allister,46,7,7,7.5
Brighton,2022/2023,Alexis Mac Allister,40,12,3,7.5
Brighton,2021/2022,Alexis Mac Allister,36,5,4,7.2
Brighton,2020/2021,Alexis Mac Allister,27,3,2,6.5
