Teams,Seasons,Players,Matches,Goals,Assists,Seasons Ratings
Brighton,2019/2020,Alexis Mac Allister,9,0,0,6
Boca Juniors,2018/2019,Alexis Mac Allister,20,2,4,6.7
Man United,2023/2024,Casemiro,32,5,3,7.2
Man United,2022/2023,Casemiro,51,7,6,7.6
real Madrid,2021/2022,Casemiro,48,1,3,7.6
Real Madrid,2020/2021,Casemiro,46,7,5,7.4
Real Madrid,2019/2020,Casemiro,46,5,5,7.3
Real Madrid,2018/2019,Casemiro,43,4,0,7.1
Real Madrid,2017/2018,Casemiro,48,7,3,7.4
Real Madrid,2016/2017,Casemiro,42,6,3,7.4
real Madrid,2015/2016,Casemiro,35,1,3,8.1
Real Madrid,2014/2015,Casemiro,40,4,1,6.1
Man United,2023/2024,Alejandro Garnacho,50,10,5,7.1
Man United,2022/2023,Alejandro Garnacho,34,5,4,6.7
Man United,2021/2022,Alejandro Garnacho,2,0,0,5.8
Dortmund,2023/2024,Jadon Sancho,21,3,2,7.4
Man United,2022/2023,Jadon Sancho,41,7,3,7.1
Man United,2021/2022,Jadon Sancho,38,5,3,7
Dortmund,2020/2021,Jadon Sancho,38,16,18,7.8
Dortmund,2019/2020,Jadon Sancho,44,20,19,7.6
Dortmund,2018/2019,Jadon Sancho,43,13,16,7.5
Dortmund,2017/2018,Jadon Sancho,12,1,4,6.9
Liverpool,2023/2024,Cody Gakpo,53,16,6,7.1
Liverpool,2022/2023,Cody Gakpo,26,7,2,7
PSV Eindhoven,2021/2022,Cody Gakpo,47,21,15,7.9
PSV Eindhoven,2020/2021,Cody Gakpo,29,11,4,7.4
PSV Eindhoven,2019/2020,Cody Gakpo,39,8,8,6.8
PSV Eindhoven,2018/2019,Cody Gakpo,19,2,6,6.7
Liverpool,2023/2024,Diogo Jota,32,15,4,7.3
Liverpool,2022/2023,Diogo Jota,28,7,8,7
Liverpool,2021/2022,Diogo Jota,55,21,6,7.2
Liverpool,2020/2021,Diogo Jota,30,13,1,7.1
Wolves,2019/2020,Diogo Jota,48,16,1,6.7
Wolves,2018/2019,Diogo Jota,37,10,7,6.8
Wolves,2017/2018,Diogo Jota,46,18,5,7.2
FC Porto,2016/2017,Diogo Jota,37,9,5,6.1
Barcelona,2023/2024,Jules Kounde,48,2,4,7.2
Barcelona,2022/2023,Jules Kounde,40,1,6,7.3
Sevilla,2021/2022,Jules Kounde,44,3,1,7.3
Sevilla,2020/2021,Jules Kounde,49,4,1,7.1
Sevilla,2019/2020,Jules Kounde,40,2,1,6.9
Bordeaux,2018/2019,Jules Kounde,51,2,1,6.7
Bordeaux,2017/2018,Jules Kounde,19,2,0,6.9
Celta Vigo,2023/2024,Iago Aspas,36,9,10,7.5
Celta Vigo,2022/2023,Iago Aspas,39,12,3,7.2
Celta Vigo,2021/2022,Iago Aspas,38,18,6,7.3
Celta Vigo,2020/2021,Iago Aspas,34,14,15,7.5
Celta Vigo,2019/2020,Iago Aspas,38,14,3,7.1
Celta Vigo,2018/2019,Iago Aspas,29,21,6,7.6
Celta Vigo,2017/2018,Iago Aspas,37,23,5,7.7
Celta Vigo,2016/2017,Iago Aspas,49,26,6,7.3
Real Betis,2023/2024,Hector Bellerin,30,0,1,6.6
Sporting CP,2022/2023,Hector Bellerin,13,1,0,6.7
Barcelona,2021/2022,Hector Bellerin,7,0,0,7
Real Betis,2020/2021,Hector Bellerin,32,0,5,7.1
Arsenal,2019/2020,Hector Bellerin,23,1,1,6.6
Arsenal,2018/2019,Hector Bellerin,19,0,5,6.7
Arsenal,2017/2018,Hector Bellerin,47,3,5,6.9
Arsenal,2016/2017,Hector Bellerin,42,1,5,7
Villarreal,2023/2024,Gerard Moreno,38,11,8,7.3
Villarreal,2022/2023,Gerard Moreno,29,11,6,7.2
Villarreal,2021/2022,Gerard Moreno,27,13,7,7.3
Villarreal,2020/2021,Gerard Moreno,46,30,10,7.6
Villarreal,2019/2020,Gerard Moreno,37,20,5,7.3
Villarreal,2018/2019,Gerard Moreno,49,13,3,6.8
Espanyol,2017/2018,Gerard Moreno,44,19,2,7.1
Espanyol,2016/2017,Gerard Moreno,38,13,4,7
Real Madrid,2023/2024,David Alaba,17,0,2,7
Real Madrid,2022/2023,David Alaba,39,2,3,7
Real Madrid,2021/2022,David Alaba,46,3,4,7.1
Bayern Munchen,2020/2021,David Alaba,45,2,4,7
Bayern Munchen,2019/2020,David Alaba,42,2,2,6.9
Bayern Munchen,2018/2019,David Alaba,43,3,7,7.1
Bayern Munchen,2017/2018,David Alaba,36,2,4,7
Bayern Munchen,2016/2017,David Alaba,47,5,6,7.2
Real Madrid,2023/2024,Lucas Vazquez,38,3,7,7.3
Real Madrid,2022/2023,Lucas Vazquez,30,4,2,7.2
Real Madrid,2021/2022,Lucas Vazquez,41,3,0,7.2
Real Madrid,2020/2021,Lucas Vazquez,34,2,7,7.4
Real Madrid,2019/2020,Lucas Vazquez,23,3,1,6.6
Real Madrid,2018/2019,Lucas Vazquez,47,5,4,6.7
Real Madrid,2017/2018,Lucas Vazquez,53,8,12,7
Real Madrid,2016/2017,Lucas Vazquez,50,4,11,7
Real Madrid,2015/2016,Lucas Vazquez,33,4,8,7.1
Barcelona,2023/2024,Pedri,34,4,5,7.3
Barcelona,2022/2023,Pedri,35,7,1,7.4
Barcelona,2021/2022,Pedri,22,5,1,7.5
Barcelona,2020/2021,Pedri,52,4,6,7
Las Palmas,2019/2020,Pedri,37,4,6,6.8
Man City,2023/2024,John Stones,28,1,2,6.9
Man City,2022/2023,John Stones,34,3,3,7.1
Man City,2021/2022,John Stones,27,2,0,7.2
Man City,2020/2021,John Stones,35,5,0,7.2
Man City,2019/2020,John Stones,24,0,1,6.7
Man City,2018/2019,John Stones,39,0,1,7.1
Man City,2017/2018,John Stones,29,3,0,7.1
Man City,2016/2017,John Stones,41,2,0,7
Everton,2015/2016,John Stones,41,0,0,6.9
Man City,2023/2024,Mateo Kovacic,46,3,1,7.1
Chelsea,2022/2023,Mateo Kovacic,37,2,2,6.9
Chelsea,2021/2022,Mateo Kovacic,44,2,6,7.2
Chelsea,2020/2021,Mateo Kovacic,42,0,2,7.1
Chelsea,2019/2020,Mateo Kovacic,47,2,3,7.3
Chelsea,2018/2019,Mateo Kovacic,51,0,2,7.1
Real Madrid,2017/2018,Mateo Kovacic,36,0,2,6.9
Real Madrid,2016/2017,Mateo Kovacic,39,2,3,7.3
Real Madrid,2015/2016,Mateo Kovacic,34,1,2,7.3
Leicester,2023/2024,Jamie Vardy,37,20,2,7.1
Leicester,2022/2023,Jamie Vardy,42,6,5,6.5
Leicester,2021/2022,Jamie Vardy,33,17,2,6.9
Leicester,2020/2021,Jamie Vardy,42,17,9,7.1
Leicester,2019/2020,Jamie Vardy,40,23,7,7.2
Leicester,2018/2019,Jamie Vardy,36,18,4,6.9
Leicester,2017/2018,Jamie Vardy,42,23,1,7
Leicester,2016/2017,Jamie Vardy,48,16,5,6.8
Man United,2023/2024,Luke Shaw,15,0,1,6.9
Man United,2022/2023,Luke Shaw,47,1,6,7.2
Man United,2021/2022,Luke Shaw,27,0,5,7
Man United,2020/2021,Luke Shaw,47,1,6,7.1
Man United,2019/2020,Luke Shaw,33,1,2,7.2
Man United,2018/2019,Luke Shaw,40,1,5,7
Man United,2017/2018,Luke Shaw,19,0,0,7.1
Man United,2016/2017,Luke Shaw,19,0,1,7.3
Man United,2023/2024,Bruno Fernandes,48,15,13,7.9
Man United,2022/2023,Bruno Fernandes,59,14,13,7.8
Man United,2021/2022,Bruno Fernandes,46,10,13,7.5
Man United,2020/2021,Bruno Fernandes,58,28,18,7.6
Man United,2019/2020,Bruno Fernandes,22,12,8,8
Sporting CP,2018/2019,Bruno Fernandes,52,31,15,7.8
Sporting CP,2017/2018,Bruno Fernandes,56,16,14,7.6
Sampdoria,2016/2017,Bruno Fernandes,35,5,3,6.6
Man United,2023/2024,Mason Mount,20,1,1,6.5
Chelsea,2022/2023,Mason Mount,35,3,3,6.9
Chelsea,2021/2022,Mason Mount,53,13,16,7.4
Chelsea,2020/2021,Mason Mount,54,9,8,7.3
Chelsea,2019/2020,Mason Mount,53,8,5,7
Derby,2018/2019,Mason Mount,44,11,5,6.9
Vitesse,2017/2018,Mason Mount,39,14,10,7.6
Man United,2023/2024,Antony,38,3,2,6.9
Man United,2022/2023,Antony,44,8,3,7.3
Ajax,2021/2022,Antony,33,12,10,7.8
Ajax,2020/2021,Antony,46,11,9,7.1
Man City,2023/2024,Josko Gvardiol,42,5,2,7.5
RB Leipzig,2022/2023,Josko Gvardiol,41,3,0,7.1
RB Leipzig,2021/2022,Josko Gvardiol,46,2,3,7.3
Dinamo Zagreb,2020/2021,Josko Gvardiol,40,3,2,7.2
West Ham,2023/2024,Kalvin Phillips,10,0,0,6.1
Man City,2022/2023,Kalvin Phillips,21,0,0,6.7
Leeds,2021/2022,Kalvin Phillips,23,1,1,7.1
Leeds,2020/2021,Kalvin Phillips,23,1,1,7.1
Leeds,2019/2020,Kalvin Phillips,30,1,2,7
Leeds,2018/2019,Kalvin Phillips,40,2,2,7.1
Leeds,2017/2018,Kalvin Phillips,46,1,3,6.9
Leeds,2016/2017,Kalvin Phillips,40,1,2,6.5
Man City,2023/2024,Rodri,50,9,13,8.1
Man City,2022/2023,Rodri,56,4,7,7.7
Man City,2021/2022,Rodri,46,7,2,7.9
Man City,2020/2021,Rodri,53,2,5,7.4
Man City,2019/2020,Rodri,52,4,2,7.1
Atletico Madrid,2018/2019,Rodri,47,3,1,7.2
Villarreal,2017/2018,Rodri,47,1,4,7.2
Villarreal,2016/2017,Rodri,31,1,2,7.1
Man City,2023/2024,Jack Grealish,36,3,3,7.1
Man City,2022/2023,Jack Grealish,50,5,11,7.4
Man City,2021/2022,Jack Grealish,39,6,4,7.5
Aston Villa,2020/2021,Jack Grealish,27,7,10,7.7
Aston Villa,2019/2020,Jack Grealish,41,10,8,7.3
Aston Villa,2018/2019,Jack Grealish,35,6,7,7.6
Aston Villa,2017/2018,Jack Grealish,31,3,6,7.5
Aston Villa,2016/2017,Jack Grealish,33,5,2,6.7
Man City,2023/2024,Julian Alvarez,54,19,13,7.4
Man City,2022/2023,Julian Alvarez,49,17,4,6.9
River Plate,2021/2022,Julian Alvarez,26,18,6,7.8
River Plate,2020/2021,Julian Alvarez,46,24,14,7.7
River Plate,2019/2020,Julian Alvarez,24,8,3,6.6
River Plate,2018/2019,Julian Alvarez,18,3,2,6
River Plate,2017/2018,Julian Alvarez,8,1,2,6.1
Man City,2023/2024,Phil Foden,53,27,12,7.8
Man City,2022/2023,Phil Foden,48,15,7,7.3
Man City,2021/2022,Phil Foden,45,14,11,7.3
Man City,2020/2021,Phil Foden,50,16,10,7.5
Man City,2019/2020,Phil Foden,38,8,9,7.2
Man City,2018/2019,Phil Foden,26,7,2,7.1
Man City,2017/2018,Phil Foden,10,0,1,6.8
Man City,2023/2024,Jeremy Doku,43,6,9,7.3
Rennes,2022/2023,Jeremy Doku,35,7,4,7.2
Rennes,2021/2022,Jeremy Doku,18,2,2,6.9
Anderlecht,2020/2021,Jeremy Doku,7,2,3,7.6
Anderlecht,2019/2020,Jeremy Doku,24,4,4,6.8
Anderlecht,2018/2019,Jeremy Doku,6,0,0,5.9
Tottenham,2023/2024,Timo Werner,14,2,3,7
RB Leipzig,2022/2023,Timo Werner,40,16,5,7.1
Chelsea,2021/2022,Timo Werner,37,11,6,6.9
Chelsea,2020/2021,Timo Werner,52,12,11,7
RB Leipzig,2019/2020,Timo Werner,45,34,12,7.7
RB Leipzig,2018/2019,Timo Werner,37,19,8,7.1
RB Leipzig,2017/2018,Timo Werner,45,21,9,7.1
RB Leipzig,2016/2017,Timo Werner,32,21,5,7.5
Tottenham,2023/2024,Richarlison,31,12,4,7
Tottenham,2022/2023,Richarlison,35,3,3,6.7
Everton,2021/2022,Richarlison,33,11,5,7
Everton,2020/2021,Richarlison,40,13,3,6.9
Everton,2019/2020,Richarlison,41,15,4,6.9
Everton,2018/2019,Richarlison,38,14,1,6.6
Watford,2017/2018,Richarlison,41,5,4,6.6
Fluminense,2016/2017,Richarlison,36,15,2,6.8
Juventus,2023/2024,Alex Sandro,18,1,0,7
Juventus,2022/2023,Alex Sandro,37,0,3,7.1
Juventus,2021/2022,Alex Sandro,40,2,1,7
Juventus,2020/2021,Alex Sandro,34,2,2,7.2
Juventus,2019/2020,Alex Sandro,41,1,4,7.1
Juventus,2018/2019,Alex Sandro,43,1,2,7.2
Juventus,2017/2018,Alex Sandro,39,4,5,7.4
Juventus,2016/2017,Alex Sandro,43,3,7,7.5
Juventus,2023/2024,Danilo,34,1,3,7.5
Juventus,2022/2023,Danilo,54,3,3,7.4
Juventus,2021/2022,Danilo,31,2,2,7.3
Juventus,2020/2021,Danilo,46,1,4,7.3
Juventus,2019/2020,Danilo,32,2,0,6.8
Man City,2018/2019,Danilo,22,1,1,7.3
Man City,2017/2018,Danilo,38,3,3,7.3
Real Madrid,2016/2017,Danilo,25,1,3,7.5
Real Madrid,2015/2016,Danilo,31,2,6,7.3
FC Porto,2014/2015,Danilo,40,7,1,8.3
Fiorentina,2023/2024,Arthur,48,2,3,7
Liverpool,2022/2023,Arthur,1,0,0,6.1
Juventus,2021/2022,Arthur,31,0,1,7
Juventus,2020/2021,Arthur,32,1,0,6.8
Barcelona,2019/2020,Arthur,28,4,4,7.2
Barcelona,2018/2019,Arthur,44,0,2,6.8
Gremio,2017/2018,Arthur,18,4,2,7.8
Gremio,2016/2017,Arthur,50,2,1,7.2
Juventus,2023/2024,Federico Chiesa,37,10,2,7.1
Juventus,2022/2023,Federico Chiesa,33,4,6,6.7
Juventus,2021/2022,Federico Chiesa,18,4,2,7.2
Juventus,2020/2021,Federico Chiesa,43,14,10,7.4
Fiorentina,2019/2020,Federico Chiesa,37,11,6,6.9
Fiorentina,2018/2019,Federico Chiesa,41,12,5,6.8
Fiorentina,2017/2018,Federico Chiesa,38,6,5,7.1
Fiorentina,2016/2017,Federico Chiesa,34,4,2,6.6
Inter,2023/2024,Alexis Sanchez,33,4,5,6.8
Marseille,2022/2023,Alexis Sanchez,44,18,3,7.1
Inter,2021/2022,Alexis Sanchez,39,9,4,6.8
Inter,2020/2021,Alexis Sanchez,38,7,5,6.8
Inter,2019/2020,Alexis Sanchez,32,4,9,7
Man United,2018/2019,Alexis Sanchez,27,2,4,6.6
Man United,2017/2018,Alexis Sanchez,18,3,5,7.4
Arsenal,2016/2017,Alexis Sanchez,51,30,15,7.8
Inter,2023/2024,Juan Cuadrado,12,0,2,6.5
Juventus,2022/2023,Juan Cuadrado,47,2,4,7.2
Juventus,2021/2022,Juan Cuadrado,45,5,5,7.4
Juventus,2020/2021,Juan Cuadrado,40,2,17,7.6
Juventus,2019/2020,Juan Cuadrado,45,3,6,7.3
Juventus,2018/2019,Juan Cuadrado,23,1,4,7.1
Juventus,2017/2018,Juan Cuadrado,29,5,8,7.5
Juventus,2016/2017,Juan Cuadrado,45,3,9,7.2
Marseille,2023/2024,Joaquin Correa,19,0,0,6.4
Inter,2022/2023,Joaquin Correa,41,4,3,6.5
Inter,2021/2022,Joaquin Correa,36,6,2,6.7
Lazio,2020/2021,Joaquin Correa,38,11,5,7.1
Lazio,2019/2020,Joaquin Correa,35,10,3,7.2
Lazio,2018/2019,Joaquin Correa,44,9,7,7
Sevilla,2017/2018,Joaquin Correa,39,7,6,7
Sevilla,2016/2017,Joaquin Correa,35,8,0,6.7
Inter,2023/2024,Lautaro Martinez,44,27,3,7.5
Inter,2022/2023,Lautaro Martinez,57,28,10,7.4
Inter,2021/2022,Lautaro Martinez,49,25,3,7.3
Inter,2020/2021,Lautaro Martinez,48,19,7,7.2
Inter,2019/2020,Lautaro Martinez,49,21,5,6.9
Inter,2018/2019,Lautaro Martinez,35,9,2,6.5
Tottenham,2023/2024,Dejan Kulusevski,39,8,3,7.1
Tottenham,2022/2023,Dejan Kulusevski,37,2,8,7
Juventus,2021/2022,Dejan Kulusevski,27,2,3,6.6
Juventus,2020/2021,Dejan Kulusevski,47,7,6,6.8
Parma,2019/2020,Dejan Kulusevski,39,10,8,6.9
Atalanta,2018/2019,Dejan Kulusevski,3,0,0,5.9
Atletico Madrid,2023/2024,Axel Witsel,51,2,0,7
Atletico Madrid,2022/2023,Axel Witsel,43,0,1,6.9
Dortmund,2021/2022,Axel Witsel,41,2,0,7
Dortmund,2020/2021,Axel Witsel,22,1,0,6.9
Dortmund,2019/2020,Axel Witsel,39,4,5,7
Dortmund,2018/2019,Axel Witsel,43,6,1,7.2
Atletico Madrid,2023/2024,Rodrigo De Paul,48,4,6,7.2
Atletico Madrid,2022/2023,Rodrigo De Paul,38,3,8,7.2
Atletico Madrid,2021/2022,Rodrigo De Paul,48,4,1,7.1
Udinese,2020/2021,Rodrigo De Paul,38,9,9,7.5
Udinese,2019/2020,Rodrigo De Paul,35,7,6,7.3
Udinese,2018/2019,Rodrigo De Paul,37,9,8,7.5
Udinese,2017/2018,Rodrigo De Paul,39,4,7,6.9
Udinese,2016/2017,Rodrigo De Paul,35,5,1,6.7
Atletico Madrid,2023/2024,Thomas Lemar,3,0,0,6.4
Atletico Madrid,2022/2023,Thomas Lemar,32,1,3,6.9
Atletico Madrid,2021/2022,Thomas Lemar,35,4,6,7
Atletico Madrid,2020/2021,Thomas Lemar,36,2,4,6.9
Atletico Madrid,2019/2020,Thomas Lemar,29,0,0,6.3
Atletico Madrid,2018/2019,Thomas Lemar,43,4,6,6.8
Monaco,2017/2018,Thomas Lemar,38,3,8,7.1
Monaco,2016/2017,Thomas Lemar,55,14,14,7.4
Atletico Madrid,2023/2024,Nahuel Molina,46,2,5,7
Atletico Madrid,2022/2023,Nahuel Molina,43,4,4,7.2
Udinese,2021/2022,Nahuel Molina,37,8,2,7.1
Udinese,2020/2021,Nahuel Molina,31,2,5,6.8
Rosario Central,2019/2020,Nahuel Molina,24,1,3,7
Defensa y Justicia,2018/2019,Nahuel Molina,12,0,0,6.5
Atletico Madrid,2023/2024,Angel Correa,47,11,3,6.8
Atletico Madrid,2022/2023,Angel Correa,45,10,3,6.6
Atletico Madrid,2021/2022,Angel Correa,49,13,6,6.7
Atletico Madrid,2020/2021,Angel Correa,48,9,11,6.9
Atletico Madrid,2019/2020,Angel Correa,44,7,7,6.4
Atletico Madrid,2018/2019,Angel Correa,49,5,4,6.5
Atletico Madrid,2017/2018,Angel Correa,56,9,9,6.6
Atletico Madrid,2016/2017,Angel Correa,47,8,10,6.6
Barcelona,2023/2024,Joao Felix,44,10,6,7.1
Chelsea,2022/2023,Joao Felix,20,4,0,6.7
Atletico Madrid,2021/2022,Joao Felix,35,10,5,7
Atletico Madrid,2020/2021,Joao Felix,40,10,5,6.8
Atletico Madrid,2019/2020,Joao Felix,36,9,3,6.7
Benfica,2018/2019,Joao Felix,42,20,8,7.3
Man City,2023/2024,Nathan Ake,44,3,2,7.2
Man City,2022/2023,Nathan Ake,41,3,0,7.3
Man City,2021/2022,Nathan Ake,27,3,0,7
Man City,2020/2021,Nathan Ake,13,1,0,7
Bournemouth,2019/2020,Nathan Ake,30,2,2,6.5
Bournemouth,2018/2019,Nathan Ake,39,4,0,6.6
Bournemouth,2017/2018,Nathan Ake,40,2,3,6.7
Chelsea,2016/2017,Nathan Ake,5,0,1,7.4
Watford,2015/2016,Nathan Ake,28,1,0,6.8
Man City,2023/2024,Manuel Akanji,48,4,0,7.2
Man City,2022/2023,Manuel Akanji,48,1,1,7
Dortmund,2021/2022,Manuel Akanji,36,1,0,7
Dortmund,2020/2021,Manuel Akanji,41,2,0,6.9
Dortmund,2019/2020,Manuel Akanji,39,0,2,6.6
Dortmund,2018/2019,Manuel Akanji,31,1,0,6.9
Basel,2017/2018,Manuel Akanji,28,2,1,6.8
AC Milan,2023/2024,Christian Pulisic,51,16,10,7.3
Chelsea,2022/2023,Christian Pulisic,30,1,2,6.5
Chelsea,2021/2022,Christian Pulisic,38,8,4,6.9
Chelsea,2020/2021,Christian Pulisic,43,6,4,6.9
Chelsea,2019/2020,Christian Pulisic,34,11,7,7.2
Dortmund,2018/2019,Christian Pulisic,30,7,5,6.7
Dortmund,2017/2018,Christian Pulisic,42,5,6,6.9
Dortmund,2016/2017,Christian Pulisic,43,5,9,6.9
Nottm Forest,2023/2024,Divock Origi,22,1,1,6.3
AC Milan,2022/2023,Divock Origi,36,2,1,6.4
Liverpool,2021/2022,Divock Origi,18,6,3,7
Liverpool,2020/2021,Divock Origi,17,1,2,6.3
Liverpool,2019/2020,Divock Origi,42,6,2,6.5
Liverpool,2018/2019,Divock Origi,21,7,1,6.5
Wolfsburg,2017/2018,Divock Origi,36,7,3,6.4
Liverpool,2016/2017,Divock Origi,43,11,3,6.6
Liverpool,2015/2016,Divock Origi,33,10,2,6.2
Lille,2014/2015,Divock Origi,44,9,3,6.7
Girona,2023/2024,Daley Blind,37,3,2,7.3
Bayern Munchen,2022/2023,Daley Blind,5,0,0,6.4
Ajax,2021/2022,Daley Blind,46,2,3,7.5
Ajax,2020/2021,Daley Blind,34,1,2,7.1
Ajax,2019/2020,Daley Blind,34,1,1,6.9
Ajax,2018/2019,Daley Blind,57,6,4,7.2
Man United,2017/2018,Daley Blind,17,1,2,7.3
Man United,2016/2017,Daley Blind,39,1,2,7.4
Girona,2023/2024,Miguel Gutierrez,40,2,9,7.2
Girona,2022/2023,Miguel Gutierrez,36,2,3,6.8
Real Madrid,2021/2022,Miguel Gutierrez,4,0,1,7.4
Real Madrid,2020/2021,Miguel Gutierrez,6,0,1,7.1
Bayern Munchen,2023/2024,Eric Dier,20,0,0,7
Tottenham,2022/2023,Eric Dier,42,2,1,6.8
Tottenham,2021/2022,Eric Dier,40,0,0,6.9
Tottenham,2020/2021,Eric Dier,39,0,0,6.7
Tottenham,2019/2020,Eric Dier,30,0,2,6.6
Tottenham,2018/2019,Eric Dier,28,3,0,6.6
Tottenham,2017/2018,Eric Dier,47,0,3,7
Tottenham,2016/2017,Eric Dier,48,2,2,7
Bayern Munchen,2023/2024,Raphael Guerreiro,28,3,2,7.2
Dortmund,2022/2023,Raphael Guerreiro,36,6,14,7.6
Dortmund,2021/2022,Raphael Guerreiro,28,5,3,7.2
Dortmund,2020/2021,Raphael Guerreiro,40,6,10,7.4
Dortmund,2019/2020,Raphael Guerreiro,38,8,3,7.2
Dortmund,2018/2019,Raphael Guerreiro,32,6,6,7.3
Dortmund,2017/2018,Raphael Guerreiro,15,2,1,7
Dortmund,2016/2017,Raphael Guerreiro,35,7,5,7.1
Bayern Munchen,2023/2024,Dayot Upamecano,33,1,0,7.1
Bayern Munchen,2022/2023,Dayot Upamecano,43,1,1,7.2
Bayern Munchen,2021/2022,Dayot Upamecano,38,1,6,7.5
RB Leipzig,2020/2021,Dayot Upamecano,41,1,0,6.9
RB Leipzig,2019/2020,Dayot Upamecano,38,0,1,7
RB Leipzig,2018/2019,Dayot Upamecano,22,0,0,6.9
RB Leipzig,2017/2018,Dayot Upamecano,41,3,0,7
Salzburg,2016/2017,Dayot Upamecano,21,0,2,7.2
Bayern Munchen,2023/2024,Matthijs de Ligt,30,2,1,7
Bayern Munchen,2022/2023,Matthijs de Ligt,43,3,1,7.3
Juventus,2021/2022,Matthijs de Ligt,42,3,1,7.1
Juventus,2020/2021,Matthijs de Ligt,36,1,1,7.1
Juventus,2019/2020,Matthijs de Ligt,39,4,0,6.8
Ajax,2018/2019,Matthijs de Ligt,55,7,1,7.1
Ajax,2017/2018,Matthijs de Ligt,39,3,3,7
Ajax,2016/2017,Matthijs de Ligt,23,3,0,6.9
Bayern Munchen,2023/2024,Leon Goretzka,42,6,9,7.4
Bayern Munchen,2022/2023,Leon Goretzka,40,6,6,7.3
Bayern Munchen,2021/2022,Leon Goretzka,27,3,3,7.3
Bayern Munchen,2020/2021,Leon Goretzka,32,8,7,7.3
Bayern Munchen,2019/2020,Leon Goretzka,38,8,7,7.3
Bayern Munchen,2018/2019,Leon Goretzka,42,9,6,7
Schalke 04,2017/2018,Leon Goretzka,29,4,3,7
Schalke 04,2016/2017,Leon Goretzka,41,8,4,7.1
Bayern Munchen,2023/2024,Konrad Laimer,43,1,4,7
RB Leipzig,2022/2023,Konrad Laimer,29,4,1,7.2
RB Leipzig,2021/2022,Konrad Laimer,43,5,6,6.9
RB Leipzig,2020/2021,Konrad Laimer,4,0,0,6.1
RB Leipzig,2019/2020,Konrad Laimer,42,4,6,6.9
RB Leipzig,2018/2019,Konrad Laimer,43,2,3,6.8
RB Leipzig,2017/2018,Konrad Laimer,29,0,2,6.6
Salzburg,2016/2017,Konrad Laimer,43,4,4,6.3
